fold,run,ratio_A,ratio_B,dipdi
1,1,100-0,0-100,0.31094908714294434
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,6,100-0,0-100,-1.4664398431777954
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,6,100-0,0-100,-1.4664398431777954
1,7,100-0,0-100,-0.06928399205207825
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,6,100-0,0-100,-1.4664398431777954
1,7,100-0,0-100,-0.06928399205207825
1,8,100-0,0-100,0.21173544228076935
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,6,100-0,0-100,-1.4664398431777954
1,7,100-0,0-100,-0.06928399205207825
1,8,100-0,0-100,0.21173544228076935
1,9,100-0,0-100,-0.21283267438411713
1,1,100-0,0-100,0.31094908714294434
1,2,100-0,0-100,-0.28584015369415283
1,3,100-0,0-100,0.0621245801448822
1,4,100-0,0-100,0.28722459077835083
1,5,100-0,0-100,0.5615909099578857
1,6,100-0,0-100,-1.4664398431777954
1,7,100-0,0-100,-0.06928399205207825
1,8,100-0,0-100,0.21173544228076935
1,9,100-0,0-100,-0.21283267438411713
1,10,100-0,0-100,-0.4841448664665222
